
:TEMPLATE=$SBE_FR
:Tagname,TXT.XDWN,TXT.XINT1,TXT.XINT2,TXT.XINT3,TXT.XINT4,TXT.XINT5,TXT.XINT6,TXT.XINT7,TXT.XINT8
C8010_FA01_MO01,,,,,0,0,0,0,0
C8010_FI01_DO01,,,,,0,0,0,0,0
C8010_FA02_MO01,,,,,0,0,0,0,0
C8010_FI02_DO01,,,,,0,0,0,0,0
C8010_FA03_MO01,,,,,0,0,0,0,0
C8010_FI03_DO01,,,,,0,0,0,0,0
C8010_SCW01_MO01,C8010_EV01_MO01,,,,0,0,0,0,0
C8010_EV01_MO01,C8010_SCW02_MO01,,,,0,0,0,0,0
C8010_FA04_MO01,,,,,0,0,0,0,0
C8010_SCW02_MO01,C8010_EV02_MO01,,,,0,0,0,0,0
C8010_EV02_MO01,C8020_SCW01_MO01 OR C8020_CN01_MO01 depending on position of C8020_DV01,,,,0,0,0,0,0
C8010_FA05_MO01,,,,,0,0,0,0,0
C8020_SCW01_MO01,C8020_SCW02_MO01,,,,0,0,0,0,0
C8020_FA01_MO01,,,,,0,0,0,0,0
C8020_FI01_DO01,,,,,0,0,0,0,0
C8020_SCW02_MO01,C8020_DP01_FB02 OR C8020_DP02_FB02 telescopic pipe extended AND C8020_SG0X_FB02 (X=Destination Silo),,,,0,0,0,0,0
C8020_FA02_MO01,,,,,0,0,0,0,0
C8020_FI02_DO01,,,,,0,0,0,0,0
C8020_DB01_MO01,,Endstop Right,Endstop Left,,0,0,0,0,0
C8020_FI03_DO01,,,,,0,0,0,0,0
C8020_FI04_DO01,,,,,0,0,0,0,0
C8020_FA09_MO01,,,,,0,0,0,0,0
C8020_FI09_DO01,,,,,0,0,0,0,0
C8020_FA07_MO01,,,,,0,0,0,0,0
C8020_FI07_DO01,,,,,0,0,0,0,0
C8020_FA08_MO01,,,,,0,0,0,0,0
C8020_FI08_DO01,,,,,0,0,0,0,0
C8020_FA10_MO01,,,,,0,0,0,0,0
C8020_FA11_MO01,,,,,0,0,0,0,0
C8020_CN01_MO01,C8020_BV07_FB02 OR C8020_BV08_FB02 depending on position of C8020_DV02,,,,0,0,0,0,0
C8020_FI05_DO01,,,,,0,0,0,0,0
C8020_FI06_DO01,,,,,0,0,0,0,0
C8040_FA01_MO01,,,,,0,0,0,0,0
C8040_FI01_DO01,,,,,0,0,0,0,0
C8040_LF01_MO01,,,,,0,0,0,0,0
C8040_LF01_MO02,,,,,0,0,0,0,0
C8040_LF01_MO03,,,,,0,0,0,0,0
C8040_LF01_PB01_DO01,,,,,0,0,0,0,0
C8040_LF01_PB02_DO02,,,,,0,0,0,0,0
C8110_SCW01_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW02_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW03_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW04_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW05_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW06_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW07_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW08_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW09_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_VB09_MO01,,,,,0,0,0,0,0
C8110_VB09_MO02,,,,,0,0,0,0,0
C8110_SCW10_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_VB10_MO01,,,,,0,0,0,0,0
C8110_VB10_MO02,,,,,0,0,0,0,0
C8110_SCW13_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW14_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW15_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW16_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_VB16_MO01,,,,,0,0,0,0,0
C8110_VB16_MO02,,,,,0,0,0,0,0
C8110_SCW17_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW18_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW19_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_VB19_MO01,,,,,0,0,0,0,0
C8110_VB19_MO02,,,,,0,0,0,0,0
C8110_SCW20_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW23_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW24_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8110_SCW25_MO01,NOT C8112_CN01_XGH,Scale Comms,,,0,0,0,0,0
C8112_CN01_MO01,C8114_CN01_MO01,,,,0,0,0,0,0
C8112_FA01_MO01,,,,,0,0,0,0,0
C8114_CN01_MO01,C8114_EV01_MO01,,,,0,0,0,0,0
C8114_FA01_MO01,,,,,0,0,0,0,0
C8114_EV01_MO01,,,,,0,0,0,0,0
C8114_FA02_MO01,,,,,0,0,0,0,0
C8120_MX01_MO01,,,,,0,0,0,0,0
C8122_SCW01_MO01,C8122_CR01_MO01,,,,0,0,0,0,0
C8122_SCW01_MO02,,,,,0,0,0,0,0
C8122_CR01_MO01,C8122_ML01_MO01,,,,0,0,0,0,0
